colony,original_site,transplant_site,survived195,survived374,dry_weight_initial,dry_weight_final,time_of_retrieval,growth_rate_mgCaCO3day-1,growth_rate_x 10^3%per_day_compounding,original_SIGV:STOTAL,mean_Ct_C100+,mean_Ct_C100-,copies_C100,total_copies,C100:CTOTAL,SIGV:STOTAL
1,North Bay,North Bay,Y,*N/A,6.2,8.91,195,13.88,1.86,0.70,23.41,24.79,9655,14175,0.68,0.69
1,North Bay,North Bay,Y,Y,9.05,26.26,374,46.02,2.85,0.70,24.61,25.64,4251,6783,0.63,0.75
1,North Bay,North Bay,Y,Y,6.3,14.28,374,21.33,2.19,0.70,24.7,25.86,4001,6184,0.65,0.73
1,North Bay,The Arch,Y,*N/A,5.8,8.97,195,16.26,2.24,0.70,25.14,26.22,2962,4669,0.63,0.74
1,North Bay,The Arch,Y,N,8.26,,,,,0.70,,,,,,
1,North Bay,The Arch,Y,N,7.52,,,,,0.70,,,,,,
2,North Bay,North Bay,Y,*N/A,10.37,13.66,195,16.87,1.41,0.65,21.9,23.55,26925,37475,0.72,0.63
2,North Bay,North Bay,Y,Y,10.5,24.76,374,38.12,2.3,0.65,23.65,25.2,8188,11613,0.71,0.65
2,North Bay,North Bay,Y,Y,7.99,20.22,374,32.69,2.49,0.65,24.27,25.9,5372,7488,0.72,0.64
2,North Bay,The Arch,Y,*N/A,10.58,15.78,195,26.69,2.05,0.65,28.78,30.38,248,348,0.71,0.64
2,North Bay,The Arch,N,N,9.5,,,,,0.65,,,,,,
2,North Bay,The Arch,Y,N,7.25,,,,,0.65,,,,,,
3,North Bay,North Bay,Y,*N/A,9.73,13.03,195,16.91,1.5,0.60,23.97,26.13,6600,8409,0.78,0.51
3,North Bay,North Bay,Y,Y,12.36,21.34,374,24.02,1.46,0.60,28.37,30.22,328,439,0.75,0.59
3,North Bay,North Bay,Y,Y,4.8,10.71,374,15.8,2.15,0.60,24.64,26.7,4183,5408,0.77,0.54
3,North Bay,The Arch,Y,*N/A,4.66,6.11,195,7.44,1.39,0.60,30.71,33.01,67,84,0.8,0.48
3,North Bay,The Arch,Y,N,17.14,,,,,0.60,,,,,,
3,North Bay,The Arch,Y,Y,8.25,7.55,374,-1.86,-0.24,0.60,23.16,24.94,11413,15504,0.74,0.61
4,North Bay,North Bay,Y,*N/A,11.66,15.36,195,18.96,1.41,0.62,25.62,27.12,2139,3063,0.7,0.67
4,North Bay,North Bay,Y,Y,10.95,31.49,374,54.92,2.83,0.62,23.41,24.98,9657,13627,0.71,0.65
4,North Bay,North Bay,Y,Y,10.7,14.72,374,10.74,0.85,0.62,24.82,26.52,3694,5086,0.73,0.62
4,North Bay,The Arch,Y,*N/A,11.39,14.02,195,13.47,1.06,0.62,25.43,27.07,2437,3387,0.72,0.63
4,North Bay,The Arch,Y,N,12.16,,,,,0.62,,,,,,
4,North Bay,The Arch,Y,N,10.18,,,,,0.62,,,,,,
5,North Bay,North Bay,Y,*N/A,10.95,15.29,195,22.27,1.71,0.51,25.04,27.55,3177,3865,0.82,0.43
5,North Bay,North Bay,Y,Y,13.48,19.31,374,15.59,0.96,0.51,23.05,25.21,12286,15676,0.78,0.52
5,North Bay,North Bay,Y,Y,14.13,26.34,374,32.65,1.67,0.51,25.33,27.54,2607,3299,0.79,0.5
5,North Bay,The Arch,Y,*N/A,12.92,16.37,195,17.71,1.22,0.51,26.59,28.76,1103,1404,0.79,0.51
5,North Bay,The Arch,Y,N,13.47,,,,,0.51,,,,,,
5,North Bay,The Arch,Y,Y,9.78,8.54,374,-3.32,-0.36,0.51,28.88,30.9,232,302,0.77,0.55
6,North Bay,North Bay,Y,*N/A,5.8,10.81,195,25.69,3.2,0.59,27.35,29.32,657,862,0.76,0.56
6,North Bay,North Bay,Y,Y,7.99,13.66,374,15.17,1.44,0.59,25.3,26.83,2655,3775,0.7,0.66
6,North Bay,North Bay,Y,Y,9.75,20.51,374,28.76,1.99,0.59,22.96,24.75,13078,17730,0.74,0.6
6,North Bay,The Arch,Y,*N/A,6.41,11.93,195,28.31,3.19,0.59,24.78,26.42,3782,5269,0.72,0.64
6,North Bay,The Arch,N,N,3.91,,,,,0.59,,,,,,
6,North Bay,The Arch,Y,Y,6.41,11.27,374,12.99,1.51,0.59,23.59,25.33,8526,11658,0.73,0.61
7,North Bay,North Bay,Y,*N/A,11.81,14.63,195,14.48,1.1,0.22,22.23,24.61,21575,26676,0.81,0.46
7,North Bay,North Bay,Y,Y,6.75,12.97,374,16.63,1.75,0.22,21.66,25.63,31702,34251,0.93,0.16
7,North Bay,North Bay,Y,Y,7.7,16.92,374,24.66,2.11,0.22,22.37,25.43,19655,22573,0.87,0.31
7,North Bay,The Arch,Y,*N/A,9.12,9.8,195,3.48,0.37,0.22,22.3,25.8,20530,22794,0.9,0.23
7,North Bay,The Arch,Y,N,5.72,,,,,0.22,,,,,,
7,North Bay,The Arch,Y,N,6.57,,,,,0.22,,,,,,
8,North Bay,North Bay,Y,*N/A,7.12,10.87,195,19.24,2.17,0.23,23.03,26.28,12506,14144,0.88,0.28
8,North Bay,North Bay,Y,Y,12.23,26.87,374,39.15,2.11,0.23,24.36,27.59,5057,5725,0.88,0.28
8,North Bay,North Bay,Y,Y,5.46,10.92,374,14.6,1.86,0.23,25.88,29.05,1787,2033,0.88,0.29
